id,name,address,zip,x,y,hours_of_operation,cybernavigator,teacher_in_the_library,phone,website
1,Altgeld,13281 S. Corliss Avenue,60827,41.65473021837776,-87.6022302609835,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-3270,http://www.chipublib.org/branch/details/library/altgeld/
2,Archer Heights,5055 S. Archer Avenue,60632,41.8012136599335,-87.72649071431441,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 747-9241,http://www.chipublib.org/branch/details/library/archer-heights/
3,Austin,5615 W. Race Avenue,60644,41.889272153514526,-87.76571186722818,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 746-5038,http://www.chipublib.org/branch/details/library/austin/
4,Austin-Irving,6100 W. Irving Park Road,60634,41.95317390064158,-87.77938682073541,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-6222,http://www.chipublib.org/branch/details/library/austin-irving/
5,Avalon,8148 S. Stony Island Avenue ,60617,41.74671722160199,-87.58539658719002,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-5234,http://www.chipublib.org/branch/details/library/avalon/
6,Beverly,1962 W. 95th Street,60643,41.721180505456495,-87.6719464613888,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-9673,http://www.chipublib.org/branch/details/library/beverly/
7,Bezazian,1226 W. Ainslie Street,60640,41.97168194800458,-87.66073027218957,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,(312) 744-0019,http://www.chipublib.org/branch/details/library/bezazian/
8,Blackstone,4904 S. Lake Park Avenue,60615,41.8058403098503,-87.58934182212592,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-0511,http://www.chipublib.org/branch/details/library/blackstone/
9,Brainerd,1350 W. 89th Street,60620,41.732316757097045,-87.65723451581835,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-6291,http://www.chipublib.org/branch/details/library/brainerd/
10,Brighton Park,4314 S. Archer Avenue,60632,41.815138789328266,-87.70265431614907,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-0666,http://www.chipublib.org/branch/details/library/brighton-park/
11,Bucktown-Wicker Park,1701 N. Milwaukee Avenue,60647,41.91272239576367,-87.6805873025965,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 744-6022,http://www.chipublib.org/branch/details/library/bucktown-wicker-park/
12,Budlong Woods,5630 N. Lincoln Avenue,60659,41.98457226437275,-87.69773449236712,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 742-9590,http://www.chipublib.org/branch/details/library/budlong-woods/
13,Canaryville,642 W. 43rd Street,60609,41.815505684396335, -87.64250101465565,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,(312) 747-0644,http://www.chipublib.org/branch/details/library/canaryville/
14,Chicago Bee,3647 S. State Street,60609,41.8284268698988,-87.62640221644719,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-6872,http://www.chipublib.org/branch/details/library/chicago-bee/
15,Chicago Lawn,6120 S. Kedzie Avenue ,60629,41.78180787787282,-87.70326162211758,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-0639,http://www.chipublib.org/branch/details/library/chicago-lawn/
16,Chinatown,2353 S. Wentworth Avenue,60616,41.849753498689424,-87.63190001364559,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-8013,http://www.chipublib.org/branch/details/library/chinatown/
17,Clearing,6423 W. 63rd Place,60638,41.77678205621646,-87.78181978755116,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,(312) 747-5657,http://www.chipublib.org/branch/details/library/clearing/
18,Coleman,731 E. 63rd Street,60637,41.78037301095412,-87.60715724280014,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,(312) 747-7760,http://www.chipublib.org/branch/details/library/bessie-coleman/
